Week,Day,Date,Platform,Content Type,Vertical Focus,Hook Line,Video Concept Summary,On-Screen Text,Caption,Hashtags,CTA,Production Notes,AI Tools to Use,Status
3,Monday,"April 21, 2026",Instagram Reels,Before/After Skit,Pest Control,Pest control rep in 2019 vs. pest control rep in 2026. The difference is embarrassing. ,"Comedy skit contrasting old-school D2D pest control with FirstKnock-powered pest control. 2019 rep has a paper map, knocks a rental, gets yelled at, walks to wrong neighborhood. 2026 rep opens FirstKnock, gets a clean route, knocks a verified new homeowner who says ""actually, we were just thinking about pest control."" Humor-forward but the product message lands hard.","""Pest Control Rep: 2019 ️"" / ""Pest Control Rep: 2026 "" / ""2019: Paper maps and prayers"" / ""2026: Verified new homeowners only"" / ""Stop living in 2019""","The pest control reps winning in 2026 aren't working harder — they're working with better data.  While the old guard is still knocking rentals with a paper map, FirstKnock reps are hitting verified new homeowners who just moved into a house that's never been treated. The era of spray-and-pray is over. 者",#PestControl #D2DSales #DoorToDoor #SalesEvolution #FirstKnock #PestControlSales #FieldSales #SalesTips #WorkSmarterNotHarder #PestControlBusiness #CloserMindset #SalesLife,"Comment ""2026"" if you're ready to upgrade","Two scenes, one person playing both roles (costume/prop change) OR two different people. Comedy tone. Quick cuts. 30-45 seconds. Subtitles essential.","CapCut AI (split timeline, text overlays, comedy sound effects), Claude (skit script), HeyGen (optional AI avatar for one era)",Not Started
3,Tuesday,"April 22, 2026",TikTok,Manager POV,Smart Home Security,"I can see every rep on my team, ranked by closes, in real time. My competitors have no idea this exists.","Manager POV showing the FirstKnock Command Center dispatch screen. Walks through how they see reps ranked by performance, can see who's closest to a hot zone, and can push a new territory to a rep's phone in seconds. Frames it as a competitive intelligence advantage. Tone is confident, almost secretive — ""I probably shouldn't be sharing this.""","""Live rep tracking "" / ""Performance rankings update every 5 min"" / ""Hot zone alert → push to nearest rep"" / ""My team closes 40% more than the competition"" / ""Security managers — this is the edge""","I manage 14 security reps across 3 cities and I can tell you exactly who's closing, who's slacking, and who needs to be redirected — right now, from my phone.  FirstKnock's Command Center is the Uber for D2D management. My competition is flying blind. I'm not. ",#SmartHomeSecurity #SalesManager #D2DSales #SalesLeadership #FirstKnock #CommandCenter #SecuritySales #FieldSales #TeamManagement #SalesTech #AlarmSales #CloserTools,"DM ""COMMAND"" to see the dispatch screen live","Real Person (manager) talking head + Screen Recording PiP of Command Center. Confident, slightly conspiratorial tone. 45-60 seconds.","CapCut AI (PiP, text overlays, auto-captions), ElevenLabs (voiceover option), Opus Clip (repurpose for IG)",Not Started
3,Wednesday,"April 23, 2026",Both,POV,Both,POV: Your manager just pushed you a new territory with 40 verified doors. Time to run it. ,"Rep receives a territory push notification from their manager on the FirstKnock app. POV video of them opening the notification, seeing the new route load on the map, and immediately heading out. Shows both pest control and security context — the rep has a dual pitch. Quick cuts of knocking doors, getting in, closing. Ends with a text to manager: ""Territory done. 6 closes.""","""Manager pushed new territory "" / ""40 verified new homeowners loaded"" / ""0.4 mile optimized route"" / ""Pest Control + Security pitches ready"" / ""6 closes. Territory done. ✅""","When your manager can see the field in real time and push you to the hottest zones instantly — that's when D2D becomes a science, not a guessing game.  FirstKnock connects the Command Center to the field rep in real time. Pest Control. Security. Any vertical. This is the future. ",#D2DSales #DoorToDoor #FieldSales #FirstKnock #PestControl #SmartHomeSecurity #SalesLife #RepLife #CloserMindset #SalesTech #HustleCulture #GrindSeason,Link in bio — connect your team today,Real Person (rep) POV + phone screen recording of notification. Fast-paced energy. 30-45 seconds. Upbeat music.,"CapCut AI (POV overlays, notification animation, music sync), Opus Clip (cut highlights)",Not Started
3,Thursday,"April 24, 2026",Instagram Reels,Talking Head / Hot Take,Pest Control,Every pest control company is fighting over the same doors. Except FirstKnock users. Here's why.,"Hot take video about competitive advantage in pest control D2D. Speaker argues that most pest control reps are knocking the same established neighborhoods over and over. FirstKnock users are hitting new homeowners — a completely untapped, uncontested pool of prospects. No competition at the door. Higher close rates. Better customer LTV because they're starting fresh.","""Everyone else: same old neighborhoods "" / ""FirstKnock users: untapped new homeowners "" / ""No competition at the door"" / ""Higher close rate. Better LTV."" / ""The blue ocean of pest control D2D""","While your competitors are re-knocking the same tired neighborhoods, FirstKnock reps are hitting new homeowners who've never been pitched — no competing quotes, no 'we already have a service,' no door slams from the last 5 reps who came through. 者 This is the blue ocean of pest control D2D. ",#PestControl #D2DSales #CompetitiveAdvantage #FirstKnock #DoorToDoor #PestControlBusiness #SalesStrategy #FieldSales #BlueOcean #SalesLeadership #PestControlSales #CloserTools,Book a demo — link in bio,"Real Person talking head. Whiteboard or text-heavy background optional. Confident, authoritative tone. 45-60 seconds.","Claude (script), CapCut AI (text animations, auto-captions, fast cuts), HeyGen (AI avatar alternative)",Not Started
3,Friday,"April 25, 2026",TikTok,Tech Flex (Screen Recording),Smart Home Security,This is what an optimized security sales route looks like. 47 doors. 0.6 miles. All new homeowners.,"Screen recording of the FirstKnock route engine in action for a smart home security territory. Manager draws a zone, route generates instantly. Zooms into individual pins showing home sale dates (all recent). Shows the walking path connecting the dots efficiently. Voiceover explains why new homeowners are the ideal security customer. Ends with the route being pushed to a rep's phone.","""Territory drawn ✏️"" / ""Route generating... ⚡"" / ""47 verified new homeowners"" / ""0.6 mile walking route"" / ""Avg days since sale: 18 days "" / ""Pushed to rep's phone ""","New homeowners are the #1 target for smart home security — they just bought a house, they're thinking about protection, and they haven't been pitched yet.  FirstKnock builds your security reps a route of ONLY these doors. 47 verified targets. 0.6 miles. Zero wasted steps. This is precision D2D. ",#SmartHomeSecurity #AlarmSales #D2DSales #RouteOptimization #FirstKnock #SecuritySales #DoorToDoor #SalesTech #FieldSales #NewHomeowner #CloserTools #SalesOps,"DM ""ROUTE"" to see this for your territory",Screen Recording only. Smooth zoom animations on map. Highlight circles on individual pins. Voiceover via ElevenLabs. 45-60 seconds.,"ElevenLabs (voiceover), CapCut AI (zoom animations, highlight effects, text overlays), Claude (voiceover script)",Not Started
4,Monday,"April 28, 2026",Both,Before/After Skit,Both,D2D manager before FirstKnock vs. after FirstKnock. This is not a drill. ,"Comedy skit showing a manager's day before and after FirstKnock. Before: manager calling reps to ask where they are, getting vague answers, no visibility, frustrated. After: manager opens Command Center, sees every rep on the map, pushes territories, tracks closes in real time, relaxed and in control. Humor-forward with a strong product message. Works for both pest control and security managers.","""BEFORE: 'Where are you??' "" / ""AFTER: I can see all 12 reps right now "" / ""BEFORE: Spreadsheets and guesswork"" / ""AFTER: Real-time field intelligence"" / ""FirstKnock: For managers who are done guessing""","Managing a D2D team without FirstKnock is like being an air traffic controller with no radar.  You're just hoping everyone lands safely. With the Command Center, you see every rep, every door, every close — live. Pest Control. Security. Any D2D vertical. The guessing game is over. ",#SalesManager #D2DSales #DoorToDoor #FirstKnock #FieldSales #SalesLeadership #CommandCenter #PestControl #SmartHomeSecurity #SalesTech #TeamManagement #ManagerLife,"Comment ""RADAR"" if you're tired of managing blind","One person playing manager in two scenes (before/after). Comedy tone. Quick cuts. Props: phone (before = frustrated call), tablet (after = calm Command Center). 30-45 seconds.","CapCut AI (before/after transitions, text overlays, comedy sound effects), Claude (skit script)",Not Started
4,Tuesday,"April 29, 2026",TikTok,POV,Smart Home Security,POV: You just knocked a door and the homeowner says 'we literally just moved in last week.' ,"POV video of a security rep knocking a FirstKnock-verified door. Homeowner opens and immediately says they just moved in. Rep pivots perfectly — ""That's exactly why I'm here."" Shows the pitch, the homeowner's interest, the close. Ends with rep walking back to the car, opening FirstKnock, and loading the next door. Text overlay: ""This is what happens when every door is verified.""","""'We just moved in last week' "" / ""Rep: 'That's exactly why I'm here' "" / ""New homeowner = highest intent security buyer"" / ""Close #3 today "" / ""Every door verified by FirstKnock""","The best security pitch in the world is walking up to someone who just moved in and doesn't feel safe yet.  FirstKnock makes sure EVERY door your rep knocks is that person. No more pitching 10-year homeowners with a Ring doorbell and a dog. Just verified new homeowners, ready to buy. ",#SmartHomeSecurity #AlarmSales #D2DSales #DoorToDoor #FirstKnock #SecuritySales #NewHomeowner #CloserLife #FieldSales #SalesLife #HustleCulture #RepWins,Link in bio — get your security team on FirstKnock,Real Person (rep + actor as homeowner) OR dramatized with HeyGen avatars. POV camera angle. Authentic feel. 30-45 seconds.,"HeyGen (AI avatars for rep and homeowner), ElevenLabs (voiceover/dialogue), CapCut AI (POV text overlays, transitions)",Not Started
4,Wednesday,"April 30, 2026",Instagram Reels,Talking Head / Hot Take,Both,D2D is not dying. Bad D2D is dying. Here's the difference. ,"Founder-style hot take pushing back on the narrative that door-to-door sales is a dying industry. Speaker argues that D2D is evolving — the reps and companies using field intelligence platforms like FirstKnock are thriving, while those still doing spray-and-pray are struggling. Positions FirstKnock as the dividing line between old D2D and new D2D. Applies to both pest control and security.","""D2D is NOT dying "" / ""Bad D2D is dying ✅"" / ""Old D2D: random doors, high rejection, burnout"" / ""New D2D: verified targets, precision, closes"" / ""Which side are you on?""",Every year someone says D2D is dead. Every year the top reps using the right tools prove them wrong.  The difference between D2D companies that are scaling and those that are shrinking is one thing: data. FirstKnock is that data. Pest Control. Security. The future of field sales is precision. ,#D2DSales #DoorToDoor #SalesMotivation #FirstKnock #FieldSales #SalesTruth #PestControl #SmartHomeSecurity #CloserMindset #SalesLeadership #FutureOfSales #HustleCulture,Share this with a D2D manager who needs to hear it,"Real Person (founder) talking head. High energy, passionate delivery. Dark background, neon accent lighting if possible. 45-60 seconds.","Claude (script), CapCut AI (auto-captions, text animations, fast cuts), Opus Clip (repurpose for TikTok)",Not Started
4,Thursday,"May 1, 2026",Both,Manager POV,Pest Control,I sent 8 pest control reps into the field this morning. By noon I had a leaderboard. Here's how.,"Manager POV showing the morning dispatch workflow. Manager opens FirstKnock Command Center, assigns territories to 8 reps, pushes routes to their phones. Time-lapse to noon — leaderboard shows closes per rep, doors knocked, conversion rates. Manager identifies the top performer and the underperformer, adjusts territories in real time. Ends with ""This is what data-driven pest control management looks like.""","""8:00am: Territories assigned "" / ""8:15am: All reps in the field "" / ""12:00pm: Live leaderboard "" / ""Top rep: 7 closes ✅"" / ""Underperformer: redirected to hot zone "" / ""Data-driven pest control management""","I don't guess which rep is performing. I don't wait until end of day to find out. FirstKnock's Command Center gives me a live leaderboard by noon — closes, doors knocked, conversion rate, location.  I can redirect underperformers to hot zones before lunch. This is how you run a pest control team in 2026. 者",#PestControl #SalesManager #D2DSales #SalesLeadership #FirstKnock #FieldSales #PestControlBusiness #CommandCenter #DataDriven #TeamManagement #SalesTech #CloserTools,"DM ""LEADERBOARD"" to see the Command Center demo",Real Person (manager) at desk + Screen Recording of Command Center. Time-lapse effect for morning-to-noon transition. 45-60 seconds.,"CapCut AI (time-lapse effect, leaderboard animations, PiP layout), ElevenLabs (voiceover), Claude (script)",Not Started
4,Friday,"May 1, 2026",Both,Rep Wins,Both,"End of week recap: 4 reps, 2 verticals, 1 platform. The numbers don't lie. ","Week-in-review style video showing aggregate results from a FirstKnock-powered team across pest control and security. Stats build on screen: total doors knocked, total closes, total contract value, conversion rate vs. industry average. Ends with a direct challenge to the viewer: ""What did your team do this week?"" Motivational and data-heavy.","""Week recap: FirstKnock team "" / ""Doors knocked: 312"" / ""Closes: 47 "" / ""Conversion rate: 15.1% (industry avg: 4.2%)"" / ""Total contract value: $58,400 "" / ""Pest Control + Security. One platform."" / ""What did YOUR team do this week?""","47 closes. $58,400 in contracts. 15.1% conversion rate.  That's what a FirstKnock-powered team of 4 reps did this week across pest control and smart home security. The industry average conversion rate is 4.2%. We're at 15.1%. The data is the product.  What did your team do this week? ",#D2DSales #SalesResults #FirstKnock #DoorToDoor #PestControl #SmartHomeSecurity #FieldSales #SalesWins #DataDriven #CloserLife #SalesLeadership #WeeklyRecap,Link in bio — get your team these numbers,Voiceover Only + animated stat counters. No real person required. Clean dark-mode aesthetic with neon accent numbers. 30-45 seconds.,"ElevenLabs (voiceover), CapCut AI (animated stat counters, dark mode aesthetic, neon text effects), Claude (script)",Not Started
